1, 2880, Note_on_c, 0, 72, 106
1, 2880, Note_off_c, 0, 79, 64
1, 2976, Note_off_c, 0, 57, 64
1, 3072, Note_off_c, 0, 41, 64
1, 3072, Note_off_c, 0, 53, 64
1, 3072, Note_off_c, 0, 60, 64
1, 3072, Note_off_c, 0, 72, 64
1, 0, Note_on_c, 0, 48, 120
1, 0, Note_on_c, 0, 63, 120
1, 48, Note_off_c, 0, 63, 64
1, 96, Note_on_c, 0, 55, 120
1, 96, Note_on_c, 0, 58, 120
1, 192, Note_off_c, 0, 58, 64
1, 192, Note_on_c, 0, 65, 120
1, 288, Note_off_c, 0, 55, 64
1, 288, Note_on_c, 0, 60, 120
1, 288, Note_off_c, 0, 65, 64
1, 288, Note_on_c, 0, 67, 120
1, 336, Note_off_c, 0, 48, 64
1, 384, Note_on_c, 0, 48, 120
1, 384, Note_on_c, 0, 63, 120
1, 432, Note_off_c, 0, 63, 64
1, 480, Note_on_c, 0, 55, 120
1, 480, Note_on_c, 0, 58, 120
1, 480, Note_off_c, 0, 60, 64
1, 480, Note_off_c, 0, 67, 64
1, 575, Note_off_c, 0, 58, 64
1, 576, Note_on_c, 0, 58, 120
1, 576, Note_on_c, 0, 65, 120
1, 672, Note_off_c, 0, 55, 64
1, 672, Note_off_c, 0, 58, 64
1, 672, Note_on_c, 0, 60, 120
1, 672, Note_off_c, 0, 65, 64
1, 672, Note_on_c, 0, 67, 120
1, 720, Note_off_c, 0, 48, 64
1, 768, Note_on_c, 0, 44, 120
1, 768, Note_off_c, 0, 60, 64
1, 768, Note_on_c, 0, 63, 120
1, 768, Note_off_c, 0, 67, 64
1, 864, Note_on_c, 0, 51, 120
1, 864, Note_on_c, 0, 58, 120
1, 864, Note_off_c, 0, 63, 64
1, 960, Note_off_c, 0, 51, 64
1, 960, Note_on_c, 0, 55, 120
1, 960, Note_off_c, 0, 58, 64
1, 960, Note_on_c, 0, 65, 120
1, 1056, Note_off_c, 0, 55, 64
1, 1056, Note_on_c, 0, 58, 120
1, 1056, Note_off_c, 0, 65, 64
1, 1056, Note_on_c, 0, 67, 120
1, 1104, Note_off_c, 0, 44, 64
1, 1152, Note_on_c, 0, 43, 120
1, 1152, Note_off_c, 0, 58, 64
1, 1152, Note_on_c, 0, 62, 120
1, 1152, Note_off_c, 0, 67, 64
1, 1248, Note_on_c, 0, 50, 120
1, 1248, Note_on_c, 0, 58, 120
1, 1248, Note_off_c, 0, 62, 64
1, 1343, Note_off_c, 0, 58, 64
1, 1344, Note_off_c, 0, 50, 64
1, 1344, Note_on_c, 0, 53, 120
1, 1344, Note_on_c, 0, 58, 120
1, 1344, Note_on_c, 0, 65, 120
1, 1440, Note_off_c, 0, 53, 64
1, 1440, Note_on_c, 0, 55, 120
1, 1440, Note_off_c, 0, 58, 64
1, 1440, Note_off_c, 0, 65, 64
1, 1440, Note_on_c, 0, 67, 120
1, 1488, Note_off_c, 0, 43, 64
1, 1536, Note_off_c, 0, 55, 64
1, 1536, Note_off_c, 0, 67, 64
1, 0, Note_on_c, 0, 41, 28
1, 0, Note_on_c, 0, 57, 69
1, 48, Note_off_c, 0, 41, 21
1, 48, Note_off_c, 0, 57, 51
1, 95, Note_on_c, 0, 48, 56
1, 95, Note_on_c, 0, 60, 47
1, 143, Note_off_c, 0, 48, 21
1, 143, Note_off_c, 0, 60, 24
1, 191, Note_on_c, 0, 53, 55
1, 191, Note_on_c, 0, 57, 60
1, 191, Note_on_c, 0, 64, 67
1, 239, Note_off_c, 0, 53, 26
1, 239, Note_off_c, 0, 57, 1
1, 239, Note_off_c, 0, 64, 69
1, 287, Note_on_c, 0, 55, 45
1, 287, Note_on_c, 0, 57, 73
1, 287, Note_on_c, 0, 67, 80
1, 335, Note_off_c, 0, 55, 45
1, 335, Note_off_c, 0, 57, 42
1, 335, Note_off_c, 0, 67, 32
1, 382, Note_on_c, 0, 41, 66
1, 383, Note_on_c, 0, 57, 68
1, 430, Note_off_c, 0, 41, 18
1, 431, Note_off_c, 0, 57, 45
1, 479, Note_on_c, 0, 48, 67
1, 479, Note_on_c, 0, 60, 70
1, 527, Note_off_c, 0, 48, 23
1, 527, Note_off_c, 0, 60, 39
1, 575, Note_on_c, 0, 57, 51
1, 575, Note_on_c, 0, 64, 58
1, 576, Note_on_c, 0, 53, 65
1, 623, Note_off_c, 0, 57, 41
1, 623, Note_off_c, 0, 64, 69
1, 624, Note_off_c, 0, 53, 36
1, 671, Note_on_c, 0, 43, 66
1, 671, Note_on_c, 0, 57, 75
1, 671, Note_on_c, 0, 67, 80
1, 719, Note_off_c, 0, 43, 42
1, 719, Note_off_c, 0, 57, 57
1, 719, Note_off_c, 0, 67, 31
1, 767, Note_on_c, 0, 45, 76
1, 767, Note_on_c, 0, 60, 51
1, 815, Note_off_c, 0, 45, 46
1, 815, Note_off_c, 0, 60, 19
1, 863, Note_on_c, 0, 52, 69
1, 863, Note_on_c, 0, 64, 86
1, 911, Note_off_c, 0, 52, 44
1, 911, Note_off_c, 0, 64, 66
1, 959, Note_on_c, 0, 59, 56
1, 959, Note_on_c, 0, 60, 60
1, 959, Note_on_c, 0, 67, 81
1, 1007, Note_off_c, 0, 59, 53
1, 1007, Note_off_c, 0, 60, 24
1, 1007, Note_off_c, 0, 67, 20
1, 1056, Note_on_c, 0, 60, 59
1, 1056, Note_on_c, 0, 71, 93
1, 1104, Note_off_c, 0, 60, 32
1, 1104, Note_off_c, 0, 71, 74
1, 1151, Note_on_c, 0, 43, 49
1, 1151, Note_on_c, 0, 59, 74
1, 1199, Note_off_c, 0, 43, 28
1, 1199, Note_off_c, 0, 59, 46
1, 1247, Note_on_c, 0, 59, 43
1, 1247, Note_on_c, 0, 62, 72
1, 1295, Note_off_c, 0, 59, 1
1, 1295, Note_off_c, 0, 62, 73
1, 1343, Note_on_c, 0, 55, 65
1, 1343, Note_on_c, 0, 59, 65
1, 1343, Note_on_c, 0, 67, 77
1, 1391, Note_off_c, 0, 55, 17
1, 1391, Note_off_c, 0, 59, 41
1, 1391, Note_off_c, 0, 67, 38
1, 1439, Note_on_c, 0, 50, 82
1, 1439, Note_on_c, 0, 59, 70
1, 1439, Note_on_c, 0, 69, 80
1, 1487, Note_off_c, 0, 50, 33
1, 1487, Note_off_c, 0, 59, 32
1, 1487, Note_off_c, 0, 69, 49
1, 1535, Note_on_c, 0, 41, 60
1, 1535, Note_on_c, 0, 57, 71
1, 1583, Note_off_c, 0, 41, 27
1, 1583, Note_off_c, 0, 57, 42
1, 1631, Note_on_c, 0, 48, 71
1, 1631, Note_on_c, 0, 60, 72
1, 1632, Note_on_c, 0, 57, 56
1, 1679, Note_off_c, 0, 48, 6
1, 1679, Note_off_c, 0, 60, 33
1, 1680, Note_off_c, 0, 57, 42
1, 1727, Note_on_c, 0, 53, 59
1, 1727, Note_on_c, 0, 57, 62
1, 1727, Note_on_c, 0, 64, 74
1, 1775, Note_off_c, 0, 53, 30
1, 1775, Note_off_c, 0, 57, 31
1, 1775, Note_off_c, 0, 64, 42
1, 1823, Note_on_c, 0, 55, 60
1, 1823, Note_on_c, 0, 67, 77
1, 1824, Note_on_c, 0, 57, 71
1, 1871, Note_off_c, 0, 55, 44
1, 1871, Note_off_c, 0, 67, 27
1, 1872, Note_off_c, 0, 57, 49
1, 1919, Note_on_c, 0, 41, 72
1, 1919, Note_on_c, 0, 57, 78
1, 1967, Note_off_c, 0, 41, 21
1, 1967, Note_off_c, 0, 57, 37
1, 2014, Note_on_c, 0, 48, 74
1, 2015, Note_on_c, 0, 57, 65
1, 2015, Note_on_c, 0, 60, 68
1, 2062, Note_off_c, 0, 48, 59
1, 2063, Note_off_c, 0, 57, 43
1, 2063, Note_off_c, 0, 60, 48
1, 2111, Note_on_c, 0, 57, 62
1, 2111, Note_on_c, 0, 64, 75
1, 2159, Note_off_c, 0, 57, 33
1, 2159, Note_off_c, 0, 64, 66
1, 2206, Note_on_c, 0, 67, 61
1, 2208, Note_on_c, 0, 52, 75
1, 2254, Note_off_c, 0, 67, 58
1, 2256, Note_off_c, 0, 52, 37
1, 2303, Note_on_c, 0, 45, 80
1, 2303, Note_on_c, 0, 60, 62
1, 2351, Note_off_c, 0, 45, 44
1, 2351, Note_off_c, 0, 60, 25
1, 2399, Note_on_c, 0, 52, 73
1, 2399, Note_on_c, 0, 64, 85
1, 2400, Note_on_c, 0, 60, 41
1, 2447, Note_off_c, 0, 52, 35
1, 2447, Note_off_c, 0, 64, 69
1, 2448, Note_off_c, 0, 60, 2
1, 2495, Note_on_c, 0, 57, 74
1, 2495, Note_on_c, 0, 60, 62
1, 2495, Note_on_c, 0, 67, 73
1, 2543, Note_off_c, 0, 57, 52
1, 2543, Note_off_c, 0, 60, 24
1, 2543, Note_off_c, 0, 67, 26
1, 2591, Note_on_c, 0, 59, 71
1, 2591, Note_on_c, 0, 60, 59
1, 2591, Note_on_c, 0, 71, 88
1, 2639, Note_off_c, 0, 59, 65
1, 2639, Note_off_c, 0, 60, 33
1, 2639, Note_off_c, 0, 71, 85
1, 2687, Note_on_c, 0, 43, 80
1, 2687, Note_on_c, 0, 59, 75
1, 2735, Note_off_c, 0, 43, 17
1, 2735, Note_off_c, 0, 59, 44
1, 2783, Note_on_c, 0, 50, 82
1, 2783, Note_on_c, 0, 59, 67
1, 2783, Note_on_c, 0, 62, 75
1, 2831, Note_off_c, 0, 50, 63
1, 2832, Note_off_c, 0, 59, 70
1, 2832, Note_off_c, 0, 62, 66
1, 2879, Note_on_c, 0, 48, 62
1, 2879, Note_on_c, 0, 67, 80
1, 2927, Note_off_c, 0, 48, 26
1, 2927, Note_off_c, 0, 67, 44
1, 2975, Note_on_c, 0, 55, 71
1, 2975, Note_on_c, 0, 69, 69
1, 3023, Note_off_c, 0, 55, 37
1, 3023, Note_off_c, 0, 69, 36
1, 0, Note_on_c, 0, 45, 60
1, 0, Note_on_c, 0, 57, 68
1, 0, Note_on_c, 0, 60, 47
1, 0, Note_on_c, 0, 64, 56
1, 44, Note_off_c, 0, 64, 46
1, 49, Note_off_c, 0, 45, 37
1, 51, Note_off_c, 0, 60, 18
1, 53, Note_off_c, 0, 57, 46
1, 96, Note_on_c, 0, 48, 46
1, 141, Note_off_c, 0, 48, 22
1, 192, Note_on_c, 0, 52, 50
1, 192, Note_on_c, 0, 57, 71
1, 192, Note_on_c, 0, 60, 50
1, 192, Note_on_c, 0, 64, 50
1, 192, Note_on_c, 0, 72, 61
1, 232, Note_off_c, 0, 52, 48
1, 233, Note_off_c, 0, 64, 33
1, 241, Note_off_c, 0, 57, 44
1, 243, Note_off_c, 0, 60, 19
1, 245, Note_off_c, 0, 72, 29
1, 288, Note_on_c, 0, 48, 52
1, 323, Note_off_c, 0, 48, 19
1, 384, Note_on_c, 0, 45, 60
1, 384, Note_on_c, 0, 57, 57
1, 384, Note_on_c, 0, 60, 35
1, 384, Note_on_c, 0, 64, 45
1, 384, Note_on_c, 0, 71, 57
1, 422, Note_off_c, 0, 64, 45
1, 430, Note_off_c, 0, 60, 38
1, 432, Note_off_c, 0, 45, 35
1, 438, Note_off_c, 0, 57, 71
1, 441, Note_off_c, 0, 71, 48
1, 480, Note_on_c, 0, 48, 62
1, 504, Note_off_c, 0, 48, 65
1, 576, Note_on_c, 0, 43, 68
1, 576, Note_on_c, 0, 55, 60
1, 576, Note_on_c, 0, 59, 58
1, 576, Note_on_c, 0, 62, 60
1, 576, Note_on_c, 0, 72, 61
1, 614, Note_off_c, 0, 59, 65
1, 618, Note_off_c, 0, 72, 38
1, 624, Note_off_c, 0, 55, 38
1, 626, Note_off_c, 0, 43, 11
1, 627, Note_off_c, 0, 62, 50
1, 672, Note_on_c, 0, 47, 68
1, 698, Note_off_c, 0, 47, 76
1, 768, Note_on_c, 0, 48, 64
1, 768, Note_on_c, 0, 60, 69
1, 768, Note_on_c, 0, 64, 62
1, 768, Note_on_c, 0, 67, 32
1, 797, Note_off_c, 0, 48, 32
1, 819, Note_off_c, 0, 67, 25
1, 821, Note_off_c, 0, 60, 37
1, 825, Note_off_c, 0, 64, 64
1, 864, Note_on_c, 0, 52, 75
1, 904, Note_off_c, 0, 52, 39
1, 960, Note_on_c, 0, 55, 67
1, 960, Note_on_c, 0, 60, 54
1, 960, Note_on_c, 0, 64, 69
1, 960, Note_on_c, 0, 67, 37
1, 960, Note_on_c, 0, 72, 54
1, 991, Note_off_c, 0, 55, 27
1, 999, Note_off_c, 0, 60, 26
1, 1016, Note_off_c, 0, 64, 47
1, 1027, Note_off_c, 0, 67, 32
1, 1029, Note_off_c, 0, 72, 28
1, 1056, Note_on_c, 0, 52, 67
1, 1079, Note_off_c, 0, 52, 48
1, 1152, Note_on_c, 0, 50, 45
1, 1152, Note_on_c, 0, 62, 43
1, 1152, Note_on_c, 0, 65, 26
1, 1152, Note_on_c, 0, 69, 55
1, 1152, Note_on_c, 0, 71, 66
1, 1193, Note_off_c, 0, 50, 57
1, 1222, Note_off_c, 0, 69, 39
1, 1224, Note_off_c, 0, 65, 16
1, 1225, Note_off_c, 0, 62, 48
1, 1231, Note_off_c, 0, 71, 51
1, 1248, Note_on_c, 0, 53, 58
1, 1285, Note_off_c, 0, 53, 26
1, 1344, Note_on_c, 0, 57, 62
1, 1344, Note_on_c, 0, 62, 50
1, 1344, Note_on_c, 0, 65, 22
1, 1344, Note_on_c, 0, 69, 47
1, 1344, Note_on_c, 0, 74, 61
1, 1407, Note_off_c, 0, 69, 52
1, 1408, Note_off_c, 0, 65, 30
1, 1413, Note_off_c, 0, 74, 57
1, 1414, Note_off_c, 0, 62, 62
1, 1421, Note_off_c, 0, 57, 1
1, 1440, Note_on_c, 0, 53, 60
1, 1463, Note_off_c, 0, 53, 36
1, 0, Note_on_c, 0, 57, 46
